#Shot	max. Te (keV) - 2011 campaign
4918	--
4919	--
4920	--
4921	--
4922	--
4923	--
4924	--
4925	--
4926	--
4927	--
4928	--
4929	--
4930	--
4931	--
4932	--
4933	--
4934	--
4935	--
4936	--
4937	--
4938	--
4939	0.5 
4940	0.0 
4941	2.3 
4942	7.7 
4943	--
4944	--
4945	--
4946	0.3 
4947	0.0 
4948	--
4949	0.0 
4950	0.9 
4951	--
4952	0.0 
4953	3.6 
4954	0.0 
4955	0.0 
4956	0.4 
4957	--
4958	--
4959	--
4960	--
4961	--
4962	0.0 
4963	--
4964	--
4965	--
4966	--
4967	--
4968	--
4969	--
4970	--
4971	--
4972	0.0 
4973	--
4974	--
4975	--
4976	--
4977	--
4978	--
4979	--
4980	--
4981	0.2 
4982	4.7 
4983	0.3 
4984	--
4985	--
4986	--
4987	--
4988	--
4989	5.1 
4990	3.7 
4991	7.3 
4992	7.3 
4993	5.7 
4994	10.3 
4995	8.5 
4996	6.3 
4997	6.5 
4998	--
4999	6.4 
5000	20.3 
5001	16.4 
5002	17.3 
5003	18.8 
5004	7.9 
5005	--
5006	0.0 
5007	18.9 
5008	8.0 
5009	1.5 
5010	4.2 
5011	13.5 
5012	4.0 
5013	4.1 
5014	7.3 
5015	--
5016	--
5017	--
5018	--
5019	17.3 
5020	7.1 
5021	11.2 
5022	7.9 
5023	4.7 
5024	9.4 
5025	5.5 
5026	--
5027	5.5 
5028	--
5029	--
5030	--
5031	--
5032	--
5033	--
5034	5.6 
5035	5.5 
5036	4.7 
5037	4.7 
5038	5.4 
5039	5.2 
5040	5.0 
5041	5.0 
5042	3.7 
5043	5.1 
5044	--
5045	--
5046	--
5047	--
5048	--
5049	--
5050	--
5051	--
5052	--
5053	6.4 
5054	--
5055	--
5056	--
5057	8.2 
5058	7.9 
5059	4.4 
5060	7.1 
5061	6.1 
5062	6.3 
5063	5.6 
5064	2.8 
5065	6.5 
5066	6.5 
5067	--
5068	6.3 
5069	9.5 
5070	6.5 
5071	--
5072	--
5073	--
5074	6.2 
5075	6.5 
5076	5.9 
5077	--
5078	--
5079	--
5080	--
5081	--
5082	--
5083	--
5084	--
5085	5.4 
5086	13.7 
5087	6.6 
5088	4.2 
5089	2.4 
5090	2.4 
5091	2.3 
5092	1.3 
5093	1.1 
5094	2.3 
5095	2.3 
5096	2.0 
5097	6.1 
5098	6.4 
5099	7.5 
5100	--
5101	--
5102	--
5103	--
5104	--
5105	6.6 
5106	1.7 
5107	4.4 
5108	5.1 
5109	5.7 
5110	4.9 
5111	6.3 
5112	6.6 
5113	6.0 
5114	5.9 
5115	5.8 
5116	5.8 
5117	5.6 
5118	5.6 
5119	5.9 
5120	2.0 
5121	--
5122	--
5123	--
5124	--
5125	--
5126	2.3 
5127	2.4 
5128	2.2 
