CH	Offset		Gain
1	0.11526 	,	0.98303 
2	-0.01106 	,	0.98275 
3	0.05671 	,	0.98440 
4	-0.03091 	,	0.98285 
5	0.04117 	,	0.98379 
6	0.14059 	,	0.98297 
7	0.03667 	,	0.97865 
8	-0.07269 	,	0.97616 
9	0.12397 	,	0.98313 
10	0.12508 	,	0.97891 
11	0.00152 	,	0.97919 
12	0.11107 	,	0.98084 
13	0.09545 	,	0.98400 
14	0.18562 	,	0.98340 
15	0.05422 	,	0.97606 
16	0.08776 	,	0.98134 
17	0.08316 	,	0.98327 
18	0.06520 	,	0.97697 
19	0.00802 	,	0.98312 
20	0.06404 	,	0.98049 
21	0.04702 	,	0.98172 
22	-0.04234 	,	0.98322 
23	0.03576 	,	0.98106 
24	0.09500 	,	0.97929 
25	0.05557 	,	0.98476 
26	-0.01330 	,	0.98374 
27	0.02939 	,	0.98523 
28	-0.03518 	,	0.97695 
29	0.13291 	,	0.97703 
30	0.04999 	,	0.97848 
31	0.12633 	,	0.97980 
32	0.04392 	,	0.98296 
33 1	0.01879 	,	0.16910 
34 2	-0.00554 	,	0.98192 
35 3	0.04057 	,	0.98018 
36 4	0.08796 	,	0.98055 
37 5	0.03289 	,	0.97850 
38 6	0.03440 	,	0.97806 
39 7	0.05663 	,	0.98421 
40 8	0.10718 	,	0.98256 
41 9	0.04774 	,	0.97913 
42 10	0.06083 	,	0.98000 
43 11	-0.00682 	,	0.97708 
44 12	0.05004 	,	0.97407 
45 13	0.00174 	,	0.97566 
46 14	0.03737 	,	0.97807 
47 15	0.00718 	,	0.98243 
48 16	0.02741 	,	0.97987 
49 17	-0.00411 	,	0.98151 
50 18	-0.05331 	,	0.98309 
51 19	0.05102 	,	0.98334 
52 20 	-0.02649 	,	0.98373 
53 21	0.06500 	,	0.98374 
54 22	-0.01964 	,	0.97664 
55 23	-0.02131 	,	0.97573 
56 24	0.00466 	,	0.97760 
57 25	-0.03573 	,	0.97708 
58 26	0.00629 	,	0.97965 
59 27	0.05358 	,	0.97665 
60 28	-0.02014 	,	0.97537 
61 29	0.08103 	,	0.97858 
62 30	0.07108 	,	0.98272 
63 31	0.04899 	,	0.97756 
64 32	0.06372 	,	0.97896 
65 1	0.21540 	,	0.98262 
66 2	0.01137 	,	0.98297 
67 3	0.23230 	,	0.98454 
68 4	0.09554 	,	0.97917 
69 5	0.16146 	,	0.98818 
70 6	0.12011 	,	0.97999 
71 7	0.08996 	,	0.98084 
72 8	-0.00890 	,	0.98365 
73 9	0.04466 	,	0.97670 
74 10	0.00169 	,	0.97749 
75 11	0.05642 	,	0.97823 
76 12	0.09070 	,	0.97466 
77 13	-0.00871 	,	0.98083 
78 14	0.08555 	,	0.98281 
79 15	0.06867 	,	0.98295 
80 16	0.02553 	,	0.97892 
81 17	0.12854 	,	0.98037 
82 18	0.05930 	,	0.97600 
83 19	0.08982 	,	0.97889 
84 20	0.13980 	,	0.97697 
85 21	0.06252 	,	0.97898 
86 22	0.03014 	,	0.97780 
87 23	0.10831 	,	0.97806 
88 24	0.00688 	,	0.98277 
89 25	0.05122 	,	0.97950 
90 26	0.16033 	,	0.97845 
91 27	0.08289 	,	0.97849 
92 28	0.09243 	,	0.98089 
93 29	0.06818 	,	0.98097 
94 30	-0.04205 	,	0.98069 
95 31	0.04384 	,	0.97821 
96 32	-0.01028 	,	0.97538 
