            NAME     EPICS ID   PTHREAD ID   OSIPRI  OSSPRI  STATE
          _main_    0xa000108            0      0       0       OK
          errlog    0xa00aa38     13683616     10       0       OK
VXI0::40::INSTR_    0xa00ee68      4184992     10       0       OK
VXI0::40::INSTRe    0xa00f080      4320160     90       0       OK
VXI0::64::INSTR_    0xa00e668      4455328     10       0       OK
VXI0::64::INSTRe    0xa00ff38      4668320     90       0       OK
VXI0::72::INSTR_    0xa06fa28      6646688     10       0       OK
VXI0::72::INSTRe    0xa076b70      4934560     90       0       OK
VXI0::80::INSTR_    0xa07e698      9493408     10       0       OK
VXI0::80::INSTRe    0xa0857e0      5069728     90       0       OK
VXI0::82::INSTR_    0xa08d310      5204896     10       0       OK
VXI0::82::INSTRe    0xa094458      5340064     90       0       OK
VXI0::88::INSTR_    0xa09bf80      5557152     10       0       OK
VXI0::88::INSTRe    0xa0a30c8      6122400     90       0       OK
VXI0::96::INSTR_    0xa0aacc0      6257568     10       0       OK
VXI0::96::INSTRe    0xa0b1e08      6392736     90       0       OK
VXI0::128::INSTR    0xa0b9938      7551904     10       0       OK
VXI0::128::INSTR    0xa0c0a80      6949792     90       0       OK
          taskwd    0xa0f7580     10038176     10       0       OK
      timerQueue    0xa0daaa8     14961568     70       0       OK
           cbLow    0xa0dac68      8874912     59       0       OK
        cbMedium    0xa105af8     11639712     64       0       OK
          cbHigh    0xa105cb8     12168096     71       0       OK
        dbCaLink    0xa1018c8     14212000     50       0       OK
        scanOnce    0xa14c4b0     15489952     70       0       OK
          scan10    0xa14cc90     86465440     60       0       OK
           scan5    0xa14cde8     28683168     61       0       OK
           scan2    0xa14cf40     29211552     62       0       OK
           scan1    0xa14d098     29739936     63       0       OK
         scan0.5    0xa14d1f0     30268320     64       0       OK
         scan0.2    0xa14d348     30796704     65       0       OK
         scan0.1    0xa14d4a0     31325088     66       0       OK
         CAS-TCP    0xa14d9c8      9894816     18       0       OK
          seqAux    0xa14ea40     15756192     51       0       OK
      CAS-beacon    0xa14ebc8      9010080     17       0       OK
         CAS-UDP    0xa14f020     16354208     16       0       OK
     sncMCDaqSeq    0xa15fc60     79489952     50       0       OK
  sncMCDaqStatus    0xa1606b8     31853472     50       0       OK
  sncMCMasterSet    0xa16e200     32381856     50       0       OK
  ipToAsciiProxy    0xa1769a0     12303264     10       0       OK
      timerQueue    0xa176e78    117267360     51       0       OK
         CAC-UDP    0xa188258    126221216     52       0       OK
       CAC-event    0xa1b94a8     32648096     51       0       OK
       CAS-event    0xa1e0370     81746848     19       0       OK
      CAS-client    0xa1e04b8     83319712     20       0       OK
