            NAME     EPICS ID   PTHREAD ID   OSIPRI  OSSPRI  STATE
          _main_    0x81370e8            0      0       0       OK
          errlog    0x813a038   3070614448     10       0       OK
      timerQueue    0x817dd08   3070479280     60       0       OK
  nicFP20x0Ctrl1    0x813d848   3070213040     50       0       OK
  nicFP20x0Ctrl2    0x813dcb0   3069946800     50       0       OK
          taskwd    0x813fc98   3069680560     10       0       OK
      timerQueue    0x81809a0   3069545392     91       0       OK
       Dev1_ctrl    0x81825e8   3069275056     10       0       OK
       Dev2_ctrl    0x8188d80   3069139888     10       0       OK
       Dev3_ctrl    0x818f480   3069004720     10       0       OK
       Dev4_ctrl    0x8195d88   3068869552     10       0       OK
       Dev6_ctrl    0x8199d90   3068734384     10       0       OK
       Dev7_ctrl    0x81a4f40   3068599216     10       0       OK
       Dev8_ctrl    0x81b0038   3068464048     10       0       OK
       Dev9_ctrl    0x81ba450   3068328880     10       0       OK
      timerQueue    0x84fb538   3068193712     70       0       OK
           cbLow    0x84fd5e0   3067927472     59       0       OK
        cbMedium    0x84ff670   3067399088     64       0       OK
          cbHigh    0x8501700   3066870704     71       0       OK
        dbCaLink    0x8501930   3066342320     50       0       OK
drvcFP20x0ScanTa    0x8512898   3065813936     10       0       OK
        scanOnce    0x8f6ec30   2957654960     70       0       OK
          scan10    0x8f79de8   2957126576     60       0       OK
           scan5    0x8f79ee0   2956598192     61       0       OK
           scan2    0x8f79fd8   2956069808     62       0       OK
           scan1    0x8f7a0d0   2955541424     63       0       OK
         scan0.5    0x8f7a1c8   2955013040     64       0       OK
         scan0.2    0x8f7a2c0   2954484656     65       0       OK
         scan0.1    0x8f7a3d8   2953956272     66       0       OK
  ipToAsciiProxy    0x8f86f10   2953427888     10       0       OK
      timerQueue    0x8f87320   2953292720     51       0       OK
         CAC-UDP    0x8f97e98   2953026480     52       0       OK
       CAC-event    0x8ff6448   2952760240     51       0       OK
    CAC-TCP-recv    0x905ad28   2952494000     49       0       OK
    CAC-TCP-send    0x905af10   2951965616     51       0       OK
         CAS-TCP    0x9086518   2950192048     18       0       OK
      CAS-beacon    0x9086730   2949925808     17       0       OK
         CAS-UDP    0x9086858   2949790640     16       0       OK
       CAS-event    0x909b738   2949258160     19       0       OK
      CAS-client    0x909b840   2948991920     20       0       OK
       CAS-event    0x90e7798   2947668912     35       0       OK
      CAS-client    0x90e78a0   2947402672     36       0       OK
          seqAux    0x90f2948   2946874288     51       0       OK
       sncTmsMax    0x90f2d10   2946608048     50       0       OK
       sncTmsMax    0x90fdc80   2946079664     50       0       OK
       sncTmsMax    0x9108bf0   2945551280     50       0       OK
      timerQueue    0x912b268   2944752560     51       0       OK
         CAC-UDP    0x913b9e0   2944486320     52       0       OK
       CAC-event    0x911a388   2945018800     51       0       OK
       sncTmsMax    0x919e618   2944220080     50       0       OK
       sncTmsMax    0x91a9588   2943691696     50       0       OK
       sncTmsMax    0x91b4510   2943163312     50       0       OK
       sncTmsMax    0x91c47e8   2942634928     50       0       OK
       sncTmsMax    0x91cf760   2942106544     50       0       OK
       sncTmsMax    0x91da6d8   2941578160     50       0       OK
       sncTmsMax    0x91ed6a8   2941049776     50       0       OK
       sncTmsMax    0x91ff2b0   2940521392     50       0       OK
       sncTmsMax    0x920a228   2939993008     50       0       OK
       sncTmsMax    0x9218938   2939464624     50       0       OK
       sncTmsMax    0x92238b0   2938936240     50       0       OK
       sncTmsMax    0x922e828   2938407856     50       0       OK
       sncTmsMax    0x9239800   2937879472     50       0       OK
       sncTmsMax    0x9244770   2937351088     50       0       OK
       sncTmsMax    0x924f6e8   2936822704     50       0       OK
      sncTmsMain    0x928b138   2936294320     50       0       OK
      sncTmsMain    0x92960d0   2935765936     50       0       OK
      sncTmsMain    0x92a1068   2935237552     50       0       OK
      sncTmsMain    0x92b58b0   2934709168     50       0       OK
      sncTmsMain    0x92c0828   2934180784     50       0       OK
      sncTmsMain    0x92cb7c0   2933652400     50       0       OK
