            NAME     EPICS ID   PTHREAD ID   OSIPRI  OSSPRI  STATE
          _main_    0x81370e8            0      0       0       OK
          errlog    0x8139f80   3071052720     10       0       OK
      timerQueue    0x817dd70   3070917552     60       0       OK
  nicFP20x0Ctrl1    0x813d8c0   3070651312     50       0       OK
          taskwd    0x813f238   3070385072     10       0       OK
      timerQueue    0x813f650   3070249904     91       0       OK
       Dev1_ctrl    0x8180ec0   3069979568     10       0       OK
       Dev2_ctrl    0x8187658   3069844400     10       0       OK
       Dev3_ctrl    0x818ddc8   3069709232     10       0       OK
       Dev4_ctrl    0x81946b8   3069574064     10       0       OK
       Dev7_ctrl    0x81a3c20   3069303728     10       0       OK
       Dev8_ctrl    0x81aed20   3069168560     10       0       OK
       Dev6_ctrl    0x8198b90   3069438896     10       0       OK
       Dev9_ctrl    0x81b9198   3069033392     10       0       OK
      timerQueue    0x84db5d0   3068898224     70       0       OK
           cbLow    0x84dd660   3068631984     59       0       OK
        cbMedium    0x84df6f0   3068103600     64       0       OK
          cbHigh    0x84e1780   3067575216     71       0       OK
        dbCaLink    0x84e1990   3067046832     50       0       OK
drvcFP20x0ScanTa    0x84ec298   3066518448     10       0       OK
        scanOnce    0x8f8e058   2957040560     70       0       OK
          scan10    0x8f991b8   2956512176     60       0       OK
           scan5    0x8f992b0   2955983792     61       0       OK
           scan2    0x8f993a8   2955455408     62       0       OK
           scan1    0x8f994a0   2954927024     63       0       OK
         scan0.5    0x8f99598   2954398640     64       0       OK
         scan0.2    0x8f99690   2953870256     65       0       OK
         scan0.1    0x8f99788   2953341872     66       0       OK
  ipToAsciiProxy    0x8fa62c0   2952813488     10       0       OK
      timerQueue    0x8fa66d0   2952678320     51       0       OK
         CAC-UDP    0x8fb7248   2952412080     52       0       OK
       CAC-event    0x902c6e0   2952145840     51       0       OK
    CAC-TCP-recv    0x9065a20   2951879600     49       0       OK
    CAC-TCP-send    0x9065c08   2951351216     51       0       OK
    CAC-TCP-recv    0x906f3f0   2950556592     49       0       OK
    CAC-TCP-send    0x906f5d8   2950028208     51       0       OK
         CAS-TCP    0x90bac48   2949630896     18       0       OK
      CAS-beacon    0x90bae60   2949364656     17       0       OK
         CAS-UDP    0x90bbc30   2949229488     16       0       OK
       CAS-event    0x90bba88   2948697008     19       0       OK
      CAS-client    0x90bbb90   2948430768     20       0       OK
       CAS-event    0x9102378   2947902384     19       0       OK
      CAS-client    0x9102480   2947636144     20       0       OK
       CAS-event    0x911fa88   2947107760     19       0       OK
      CAS-client    0x911fb90   2946841520     20       0       OK
          seqAux    0x912ac38   2946313136     51       0       OK
       sncTmsMax    0x912b000   2946046896     50       0       OK
       sncTmsMax    0x9135f70   2945518512     50       0       OK
       sncTmsMax    0x9140ee0   2944990128     50       0       OK
      timerQueue    0x915aab0   2944183216     51       0       OK
         CAC-UDP    0x916b228   2943916976     52       0       OK
       CAC-event    0x91529a8   2944449456     51       0       OK
       sncTmsMax    0x91db2e0   2942856112     50       0       OK
       sncTmsMax    0x91e6250   2942327728     50       0       OK
       sncTmsMax    0x91f11d8   2941799344     50       0       OK
       CAS-event    0x91f2640   2941270960     35       0       OK
      CAS-client    0x91f2738   2941004720     36       0       OK
       sncTmsMax    0x91fd730   2940476336     50       0       OK
       sncTmsMax    0x9208698   2939947952     50       0       OK
       sncTmsMax    0x9213610   2939419568     50       0       OK
       sncTmsMax    0x92245f0   2938891184     50       0       OK
       sncTmsMax    0x922f568   2938362800     50       0       OK
       sncTmsMax    0x923a4e0   2937834416     50       0       OK
       sncTmsMax    0x9248f80   2937306032     50       0       OK
       sncTmsMax    0x9253ef8   2936777648     50       0       OK
       sncTmsMax    0x925ee70   2936249264     50       0       OK
       sncTmsMax    0x9269e48   2935720880     50       0       OK
       sncTmsMax    0x9274db8   2935192496     50       0       OK
       sncTmsMax    0x927fd30   2934664112     50       0       OK
      sncTmsMain    0x92bec98   2934135728     50       0       OK
      sncTmsMain    0x92c9c28   2933607344     50       0       OK
      sncTmsMain    0x92d4bc0   2933078960     50       0       OK
      sncTmsMain    0x92efa48   2932550576     50       0       OK
      sncTmsMain    0x92fa9d0   2932022192     50       0       OK
      sncTmsMain    0x9305968   2931493808     50       0       OK
      sncTmsMain    0x9333008   2930965424     50       0       OK
      sncTmsMain    0x933df58   2930437040     50       0       OK
      sncTmsMain    0x9348ed8   2929908656     50       0       OK
    CAC-TCP-recv    0x934e928   2929367984     49       0       OK
    CAC-TCP-send    0x934eac0   2928839600     51       0       OK
      sncTmsMain    0x93633a8   2928044976     50       0       OK
      sncTmsMain    0x936e330   2927516592     50       0       OK
      sncTmsMain    0x93792c8   2926988208     50       0       OK
      sncTmsMain    0x9386738   2926459824     50       0       OK
      sncTmsMain    0x93916c0   2925931440     50       0       OK
      sncTmsMain    0x939c658   2925403056     50       0       OK
      sncTmsMain    0x93af4b0   2924874672     50       0       OK
      sncTmsMain    0x93ba438   2924346288     50       0       OK
      sncTmsMain    0x93c53d0   2923817904     50       0       OK
      sncTmsMain    0x93e0838   2923289520     50       0       OK
      sncTmsMain    0x93eb7d0   2922761136     50       0       OK
      sncTmsMain    0x93f6720   2922232752     50       0       OK
      sncTmsMain    0x9410598   2921704368     50       0       OK
      sncTmsMain    0x941b528   2921175984     50       0       OK
      sncTmsMain    0x9426498   2920647600     50       0       OK
      sncTmsMain    0x9432720   2920119216     50       0       OK
      sncTmsMain    0x943d6a0   2919590832     50       0       OK
      sncTmsMain    0x944d530   2919062448     50       0       OK
      sncTmsMain    0x94584e0   2918534064     50       0       OK
      sncTmsMain    0x9463430   2918005680     50       0       OK
      sncTmsMain    0x9471510   2917477296     50       0       OK
      sncTmsMain    0x947c490   2916948912     50       0       OK
      sncTmsMain    0x9488e10   2916420528     50       0       OK
      sncTmsMain    0x9493d90   2915892144     50       0       OK
      sncTmsMain    0x949ed10   2915363760     50       0       OK
      sncTmsMain    0x94be2f8   2914306992     50       0       OK
      sncTmsMain    0x94e2478   2913778608     50       0       OK
      sncTmsMain    0x94ed3a8   2913250224     50       0       OK
      sncTmsMain    0x94f82f8   2912721840     50       0       OK
      sncTmsMain    0x9504578   2912193456     50       0       OK
      sncTmsMain    0x950f4e8   2911665072     50       0       OK
      sncTmsMain    0x951a468   2911136688     50       0       OK
      sncTmsMain    0x9526ed0   2910608304     50       0       OK
      sncTmsMain    0x9531e40   2910079920     50       0       OK
      sncTmsMain    0x953f630   2909551536     50       0       OK
      sncTmsMain    0x954a570   2909023152     50       0       OK
      sncTmsMain    0x9557178   2908494768     50       0       OK
      sncTmsMain    0x95620f8   2907966384     50       0       OK
