            NAME     EPICS ID   PTHREAD ID   OSIPRI  OSSPRI  STATE
          _main_    0x813b1a0            0      0       0       OK
          errlog    0x813e5f0   3071241104     10       0       OK
      timerQueue    0x81824b0   3071105936     60       0       OK
  nicFP20x0Ctrl1    0x8141d60   3070839696     50       0       OK
          taskwd    0x8141f68   3070573456     10       0       OK
  nicFP20x0Ctrl2    0x8143ca0   3070438288     50       0       OK
      timerQueue    0x8184100   3070172048     91       0       OK
       Dev1_ctrl    0x8186fa0   3069901712     10       0       OK
       Dev2_ctrl    0x818d798   3069766544     10       0       OK
       Dev3_ctrl    0x8193fc8   3069631376     10       0       OK
       Dev4_ctrl    0x819a928   3069496208     10       0       OK
       Dev5_ctrl    0x819e9b0   3069361040     10       0       OK
       Dev6_ctrl    0x81a1578   3069225872     10       0       OK
       Dev7_ctrl    0x81ab510   3069090704     10       0       OK
       Dev8_ctrl    0x81b7740   3068955536     10       0       OK
       Dev9_ctrl    0x81c1c58   3068820368     10       0       OK
      Dev10_ctrl    0x81ca810   3068685200     10       0       OK
      timerQueue    0x850f300   3068550032     70       0       OK
           cbLow    0x85113e0   3068283792     59       0       OK
        cbMedium    0x85134c0   3067755408     64       0       OK
          cbHigh    0x85155a0   3067227024     71       0       OK
        dbCaLink    0x85157c0   3066698640     50       0       OK
drvcFP20x0ScanTa    0x8524e68   3066170256     10       0       OK
        scanOnce    0x907efd0   2941094800     70       0       OK
          scan10    0x908a690   2940566416     60       0       OK
           scan5    0x908a7f8   2940038032     61       0       OK
           scan2    0x908a960   2939509648     62       0       OK
           scan1    0x908aac8   2938981264     63       0       OK
         scan0.5    0x908ac30   2938452880     64       0       OK
         scan0.2    0x908ad98   2937924496     65       0       OK
         scan0.1    0x908af00   2937396112     66       0       OK
  ipToAsciiProxy    0x90979c8   2936867728     10       0       OK
      timerQueue    0x9097e28   2936732560     51       0       OK
         CAC-UDP    0x90a89f0   2936249232     52       0       OK
       CAC-event    0x9107010   2935982992     51       0       OK
    CAC-TCP-recv    0x9119f88   2935716752     49       0       OK
    CAC-TCP-send    0x911a5c8   2935188368     51       0       OK
         CAS-TCP    0x9191a80   2934393744     18       0       OK
      CAS-beacon    0x9191c08   2934127504     17       0       OK
         CAS-UDP    0x9191dc0   2933992336     16       0       OK
          seqAux    0x91b1d40   2933726096     51       0       OK
       sncTmsMax    0x91b2148   2933459856     50       0       OK
       CAC-event    0x91c3950   2932931472     51       0       OK
       sncTmsMax    0x91d52a0   2932665232     50       0       OK
      timerQueue    0x91d6cc0   2932136848     51       0       OK
       sncTmsMax    0x91e1c00   2931870608     50       0       OK
         CAC-UDP    0x91f23d8   2931342224     52       0       OK
       sncTmsMax    0x924c380   2930015120     50       0       OK
       sncTmsMax    0x92575f8   2929486736     50       0       OK
       sncTmsMax    0x9262928   2928958352     50       0       OK
       CAS-event    0x92677d8   2928429968     19       0       OK
      CAS-client    0x9267940   2928163728     20       0       OK
       sncTmsMax    0x9272928   2927635344     50       0       OK
       sncTmsMax    0x9281ca8   2927106960     50       0       OK
       sncTmsMax    0x928dea0   2926578576     50       0       OK
       sncTmsMax    0x9299920   2926050192     50       0       OK
       sncTmsMax    0x92a57e8   2925521808     50       0       OK
       sncTmsMax    0x92b0948   2924993424     50       0       OK
       sncTmsMax    0x92cba50   2924465040     50       0       OK
       sncTmsMax    0x92d7918   2923936656     50       0       OK
       sncTmsMax    0x92e2a78   2923408272     50       0       OK
       sncTmsMax    0x92edad0   2922879888     50       0       OK
       sncTmsMax    0x92f8c28   2922351504     50       0       OK
       sncTmsMax    0x9303d88   2921823120     50       0       OK
      sncTmsMain    0x933f880   2921294736     50       0       OK
      sncTmsMain    0x934b1a8   2920766352     50       0       OK
      sncTmsMain    0x9356328   2920237968     50       0       OK
       CAS-event    0x935b448   2919709584     35       0       OK
      CAS-client    0x935b5b0   2919443344     36       0       OK
      sncTmsMain    0x936a5f8   2918914960     50       0       OK
      sncTmsMain    0x93763e0   2918386576     50       0       OK
      sncTmsMain    0x9382020   2917858192     50       0       OK
      sncTmsMain    0x938ffa0   2917329808     50       0       OK
      sncTmsMain    0x939b8a0   2916801424     50       0       OK
      sncTmsMain    0x93a6a08   2916273040     50       0       OK
      sncTmsMain    0x93c8830   2914421648     50       0       OK
      sncTmsMain    0x93d3ae8   2913893264     50       0       OK
      sncTmsMain    0x93dfc08   2913364880     50       0       OK
      sncTmsMain    0x93ebef8   2912836496     50       0       OK
      sncTmsMain    0x93f71b8   2912304016     50       0       OK
      sncTmsMain    0x94029a8   2911775632     50       0       OK
      sncTmsMain    0x940fd50   2911247248     50       0       OK
      sncTmsMain    0x941b020   2910718864     50       0       OK
      sncTmsMain    0x9426820   2910190480     50       0       OK
      sncTmsMain    0x94326a8   2909662096     50       0       OK
      sncTmsMain    0x9443f78   2909133712     50       0       OK
      sncTmsMain    0x944f0b0   2908605328     50       0       OK
      sncTmsMain    0x9463500   2908076944     50       0       OK
      sncTmsMain    0x9472ad0   2907548560     50       0       OK
      sncTmsMain    0x947dc38   2907020176     50       0       OK
      sncTmsMain    0x9496f68   2906491792     50       0       OK
      sncTmsMain    0x94a2570   2905963408     50       0       OK
      sncTmsMain    0x94adbc8   2905435024     50       0       OK
