            NAME     EPICS ID   PTHREAD ID   OSIPRI  OSSPRI  STATE
          _main_    0x81401a0            0      0       0       OK
          errlog    0x8143658   3070028688     10       0       OK
       Dev1_ctrl    0x8149090   3069889424     10       0       OK
       Dev2_ctrl    0x81917f0   3069754256     10       0       OK
       Dev3_ctrl    0x819c7a0   3069619088     10       0       OK
       Dev4_ctrl    0x81a3748   3069483920     10       0       OK
 Dev5_input_ctrl    0x81a5b40   3069348752     10       0       OK
Dev5_output_ctrl    0x81a6f08   3069213584     10       0       OK
          taskwd    0x81bc678   3069078416     10       0       OK
      timerQueue    0x8271670   3068943248     70       0       OK
           cbLow    0x81bc4d0   3068677008     59       0       OK
        cbMedium    0x81b9408   3068148624     64       0       OK
          cbHigh    0x81a7ca0   3067620240     71       0       OK
        dbCaLink    0x827ae58   3067091856     50       0       OK
        scanOnce    0x8e16c58   2976537488     70       0       OK
          scan10    0x8e189d0   2976009104     60       0       OK
           scan5    0x8e18b38   2975480720     61       0       OK
           scan2    0x8e18ca0   2974952336     62       0       OK
           scan1    0x8e18e08   2974423952     63       0       OK
         scan0.5    0x8e18f70   2973895568     64       0       OK
         scan0.2    0x8e190d8   2973367184     65       0       OK
         scan0.1    0x8e19240   2972838800     66       0       OK
  ipToAsciiProxy    0x8e1c500   2972310416     10       0       OK
      timerQueue    0x8e1c670   2972175248     51       0       OK
         CAC-UDP    0x8e1c8f0   2971691920     52       0       OK
       CAC-event    0x8e69480   2971425680     51       0       OK
    CAC-TCP-recv    0x8e825a8   2971159440     49       0       OK
    CAC-TCP-send    0x8e82c20   2970631056     51       0       OK
         CAS-TCP    0x8e9f210   2969836432     18       0       OK
      CAS-beacon    0x8e9f398   2969570192     17       0       OK
         CAS-UDP    0x8e9f530   2969435024     16       0       OK
    save_restore    0x8eb02b8   2969168784     20       0       OK
      timerQueue    0x8eb8c38   2968640400     21       0       OK
         CAC-UDP    0x8ec93f8   2968374160     22       0       OK
          seqAux    0x8ef3980   2968107920     51       0       OK
      sncTmsMain    0x8ef4e50   2967841680     50       0       OK
       CAC-event   0xb0c11918   2967309200     51       0       OK
      sncTmsMain    0x8efffe0   2967042960     50       0       OK
      sncTmsMain    0x8f0afe0   2965371792     50       0       OK
 sncTmsIntLevel2    0x8f0c0e0   2964843408     50       0       OK
      timerQueue    0x8f0cb00   2964315024     51       0       OK
 sncTmsIntLevel3    0x8f0dd20   2964048784     50       0       OK
         CAC-UDP    0x8f1e5d0   2963520400     52       0       OK
 sncTmsIntLevel4    0x8f1fc28   2963254160     50       0       OK
   sncTmsDhsZero    0x8f4b7b8   2962725776     50       0       OK
sncTmsStrainZero    0x8f62290   2962197392     50       0       OK
  sncTmsWatchdog    0x8f64340   2961669008     50       0       OK
sncTmsWatchdog_1    0x8f64978   2961140624     50       0       OK
sncTmsWatchdog_2    0x81430a8   2960612240     50       0       OK
sncTmsWatchdog_3    0x8f4b948   2960083856     50       0       OK
    CAC-TCP-recv    0x8f8b0a8   2959555472     49       0       OK
    CAC-TCP-send    0x8f8b2e0   2959027088     51       0       OK
       CAC-event    0x8195de0   2957974416     21       0       OK
       CAS-event    0x819ed90   2957441936     19       0       OK
      CAS-client    0x819f090   2957175696     20       0       OK
