            NAME     EPICS ID   PTHREAD ID   OSIPRI  OSSPRI  STATE
          _main_    0x813b0e8            0      0       0       OK
          errlog    0x813dcc8   3070471088     10       0       OK
       Dev1_ctrl    0x8143b40   3070331824     10       0       OK
       Dev2_ctrl    0x818be68   3070196656     10       0       OK
       Dev3_ctrl    0x8196e40   3070061488     10       0       OK
       Dev4_ctrl    0x819dd48   3069926320     10       0       OK
 Dev5_input_ctrl    0x819feb8   3069791152     10       0       OK
Dev5_output_ctrl    0x81a11d0   3069655984     10       0       OK
        dbCaLink    0x81b3388   3067534256     50       0       OK
          taskwd    0x82682c8   3069520816     10       0       OK
      timerQueue    0x81a4158   3069385648     70       0       OK
           cbLow    0x8274518   3069119408     59       0       OK
        cbMedium    0x8271638   3068591024     64       0       OK
          cbHigh    0x82670d0   3068062640     71       0       OK
        scanOnce    0x8e03b40   2976652208     70       0       OK
          scan10    0x8e057b8   2976123824     60       0       OK
           scan5    0x8e058b0   2975595440     61       0       OK
           scan2    0x8e059a8   2975067056     62       0       OK
           scan1    0x8e05aa0   2974538672     63       0       OK
         scan0.5    0x8e05b98   2974010288     64       0       OK
         scan0.2    0x8e05c90   2973481904     65       0       OK
         scan0.1    0x8e05da8   2972953520     66       0       OK
  ipToAsciiProxy    0x8e09040   2972425136     10       0       OK
      timerQueue    0x8e09160   2972289968     51       0       OK
         CAC-UDP    0x8e09390   2972023728     52       0       OK
       CAC-event    0x8e55ea0   2971757488     51       0       OK
    CAC-TCP-recv    0x8e6eec8   2971491248     49       0       OK
    CAC-TCP-send    0x8e6f0b0   2970962864     51       0       OK
         CAS-TCP    0x8e8cb28   3028569008     18       0       OK
    save_restore    0x8e8cd78   2970033072     20       0       OK
          seqAux    0x8ea28f8   2969504688     51       0       OK
      timerQueue    0x8eab360   2969103280     21       0       OK
         CAC-UDP    0x8ebbad8   2968837040     22       0       OK
      CAS-beacon    0x8ea2aa0   2969238448     17       0       OK
         CAS-UDP    0x8ebc918   2968570800     16       0       OK
      sncTmsMain    0x8ebd158   2968304560     50       0       OK
      sncTmsMain    0x8ef1528   2967776176     50       0       OK
      sncTmsMain    0x8efc498   2967247792     50       0       OK
 sncTmsIntLevel1    0x8efd140   2966719408     50       0       OK
 sncTmsIntLevel2    0x8efe028   2966191024     50       0       OK
 sncTmsIntLevel3    0x8eff1e0   2965662640     50       0       OK
 sncTmsIntLevel4    0x8f007d0   2965134256     50       0       OK
   sncTmsDhsZero    0x8f02830   2964605872     50       0       OK
sncTmsStrainZero    0x8f19120   2964077488     50       0       OK
      timerQueue    0x8f30120   2963282864     51       0       OK
         CAC-UDP    0x8f40888   2963016624     52       0       OK
       CAS-event    0x8f6b5a0   2962484144     19       0       OK
      CAS-client    0x8f6b6a8   2962217904     20       0       OK
       CAC-event    0x8f2a518   2963549104     51       0       OK
    CAC-TCP-recv    0x8187690   2961509296     49       0       OK
    CAC-TCP-send    0x818ded0   2960980912     51       0       OK
       CAC-event    0x8195850   2960186288     21       0       OK
       CAS-event    0x8184808   2959920048     19       0       OK
      CAS-client    0x81867d8   2959653808     20       0       OK
